京都・大阪・岡山 方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都・大阪・岡山 方面
,,,,,"スーパー
はくと
2号",,"スーパー
いなば
2号",,"スーパー
はくと
4号",,"スーパー
いなば
4号","スーパー
はくと
6号",,,"スーパー
はくと
8号",,"スーパー
いなば
6号",,"スーパー
はくと
10号",,"スーパー
はくと
12号","スーパー
いなば
8号",,,"スーパー
はくと
14号",,,"スーパー
はくと
16号",,"スーパー
いなば
10号",,"スーパー
いなば
12号",,,,
倉吉,発,,,,604,,,,811,,,,,,1140,,,,1339,,1442,,,,1625,,,,,,,,,,,
鳥取 ,発,,,516,636,,702,719,852,800,1002,1046,,1105,1221,1232,1354,,1421,1435,1512,1625,,1520,1655,1705,,1840,1800,1858,1908,2039,2010,2211,,
郡 家,発,,,530,645,,710,737,901,828,1015,1055,,1120,1230,1250,1403,,1430,1450,1521,1634,,1554,1704,1724,,1849,1816,1909,1932,2048,2024,2230,,
智頭 ,着,,,558,703,,728,808,919,856,1032,1113,,1153,1248,1325,1421,,1448,1524,1544,1652,,1626,1722,1753,,1908,1846,1930,2005,2106,2055,2309,,
,,720D,722D,724D,,726D,,728D,,730D,,,732D,７３４D,,736D,,738D,,740D,,,742D,744D,,746D,748D,,750D,,752D,,754D,,,
智頭,発,,,603,707,,733,814,921,951,1034,1115,,1159,1250,1347,1422,,1450,1531,1546,1654,,1707,1724,1800,,1909,1942,1932,2022,2107,2123,,,
恋山形,発,,,610,↓,,↓,820,↓,1002,↓,↓,,1221,↓,1354,↓,,↓,1538,↓,↓,,1714,↓,1807,,↓,1948,↓,2031,↓,2137,,,
山郷,発,,,614,↓,,↓,824,↓,1006,↓,↓,,1225,↓,1358,↓,,↓,1542,↓,↓,,1718,↓,1811,,↓,1952,↓,2035,↓,2141,,,
あわくら,発,,,622,↓,,↓,832,↓,1021,↓,↓,,1245,↓,1406,↓,,↓,1600,↓,↓,,1726,↓,1819,,↓,2000,↓,2043,↓,2149,,,
西粟倉,発,,,626,↓,,↓,836,↓,1025,↓,↓,,1249,↓,1410,↓,,↓,1604,↓,↓,,1730,↓,1823,,↓,2004,↓,2047,↓,2153,,,
